Date,Milk_Supply_Liters,Downtime_Hours,Milk_500ml_Demand,Milk_500ml_Inventory,Milk_1L_Demand,Milk_1L_Inventory,Butter_Demand,Butter_Inventory,Cheese_Demand,Cheese_Inventory,Yogurt_Demand,Yogurt_Inventory
18-04-2014,10238,1.07,2206,2868,2787,3278,2852,2933,2838,2719,3992,4469
19-04-2014,10524,0.36,2364,3018,2860,3292,2570,2371,3692,4136,3562,3805
20-04-2014,10485,1.1,2367,2653,2413,2805,3013,3804,3376,3453,4129,4770
21-04-2014,11482,0.23,1885,2371,2719,3582,2844,3710,3134,3590,4151,4656
22-04-2014,8714,0.84,2091,2492,2177,2230,3113,3526,3448,3919,3676,4217
23-04-2014,10816,1.37,2446,2795,2658,3168,2474,2991,3699,4101,4346,4670
24-04-2014,11431,0.1,2458,3439,2384,3151,3180,3492,3731,4418,4033,4359
25-04-2014,7865,0.76,1737,2158,2102,2202,2845,3422,4039,4706,3920,4886
26-04-2014,10383,0.54,2177,2955,2227,2668,2680,3416,3463,4077,4455,4980
27-04-2014,9394,0.41,2126,2636,2623,3240,2868,3511,3157,3617,3560,4418
28-04-2014,9902,1.39,2277,2730,2055,2764,2520,3181,3604,4127,4134,4548
29-04-2014,10417,1.33,2373,3163,2415,2940,2912,3107,3793,4430,4195,4535
30-04-2014,9415,1.49,1687,2512,2820,3056,3036,3407,3647,4020,4083,4589
01-05-2014,9189,0.26,1792,2242,2352,2950,3021,3360,3539,3905,3836,4281
02-05-2014,10040,0.5,2272,3031,2037,2374,3137,3497,3720,4161,4657,5119
03-05-2014,8695,0.35,2044,2512,2416,2967,2829,3580,3395,4048,4217,4466
04-05-2014,8697,1.17,1331,1840,2703,2814,3233,3750,3519,3844,3722,4635
05-05-2014,10815,0.93,1500,2070,2110,2564,3079,3406,3581,4188,3809,4280
06-05-2014,8621,0.6,2198,2881,2856,3346,3244,3575,2706,3182,3454,4435
07-05-2014,10799,2.31,2251,3101,2728,3143,3497,3876,3300,4018,3952,4326
08-05-2014,10555,0.15,1595,1927,2605,3170,2534,3052,3121,3578,4619,5251
09-05-2014,7929,5.53,2329,2870,2673,3246,2885,3196,3082,3210,3574,4154
10-05-2014,9186,0.19,1940,2137,2538,3391,2771,3169,3077,3650,4093,4546
11-05-2014,11432,2.22,1693,2113,2600,2938,3641,4022,3530,4056,3895,4574
12-05-2014,8822,0.69,1831,2375,2521,3201,3179,3702,3660,4005,4096,4443
13-05-2014,9442,3.01,1633,2046,2764,3258,3086,3766,3158,3659,4111,4625
14-05-2014,10554,0.12,1815,2500,2887,3509,3358,4002,3174,3541,4053,4150
15-05-2014,10940,0.7,1439,2120,2253,2848,3003,3577,3621,4127,3570,4289
16-05-2014,9698,0.61,1977,2804,2289,2778,3139,3561,3798,4150,3748,4150
17-05-2014,9282,7.48,2176,2484,2382,3015,2863,3181,3619,4010,3877,4409
18-05-2014,11706,6.36,1595,2319,2317,2631,2590,3014,3791,4069,4034,4542
19-05-2014,12086,0.32,2005,2139,2840,3454,3269,3846,3444,4096,4406,4717
20-05-2014,11174,1.49,1758,2196,2050,2255,2712,3352,3733,3976,4649,5321
21-05-2014,10102,1.15,2200,2566,2662,3250,3224,3644,3400,4047,3964,4701
22-05-2014,9030,0.25,1305,1939,2916,3549,3325,3922,3605,4396,3869,4730
23-05-2014,9003,0.28,2213,2326,2326,2462,2326,2861,3156,3951,4044,4552
24-05-2014,10627,6.8,1454,2039,2941,3197,3313,3819,3926,4260,4083,4909
25-05-2014,10502,0.9,1937,2070,2847,3189,3076,3709,4014,4946,4556,5276
26-05-2014,11681,0.2,1787,2325,2395,3092,2709,3451,3554,4139,3566,4013
27-05-2014,10780,0.36,1891,2440,2745,3448,2478,3153,3996,4318,4212,4214
28-05-2014,8196,0.47,1541,1983,2252,2672,2978,3171,3639,3918,4346,5053
29-05-2014,11262,1.07,2498,3226,2169,2723,2946,3363,3470,3800,3725,4146
30-05-2014,8802,0.61,1614,1947,2360,2641,3327,4305,3364,4099,4390,4987
31-05-2014,9539,0.91,1637,2214,2905,3358,3019,3537,4058,4495,3698,4079
01-06-2014,10300,0.27,2538,3058,2362,3036,2673,3345,3454,3926,3554,3903
02-06-2014,12394,0.59,2096,2906,2512,3211,2533,2879,3497,4039,3930,4711
03-06-2014,13731,0.11,1623,1801,2198,2991,3043,3609,3778,4541,4229,4256
04-06-2014,10728,3.31,1961,2777,2759,3097,3001,3278,3614,4077,3428,3716
05-06-2014,9780,0.33,1929,2674,2749,3214,3396,3772,3411,3735,3478,3543
06-06-2014,10641,2.12,1493,2069,2288,2582,2852,3084,3781,4051,4322,4836
07-06-2014,11065,0.65,1772,2283,1804,2329,3125,3360,3025,3851,3953,4241
08-06-2014,9615,0.96,1992,2385,2391,2822,2960,3130,3473,4032,4112,4369
09-06-2014,12154,0.52,2379,2817,2632,3164,2189,2473,3509,4220,4175,4559
10-06-2014,10276,1.79,1943,2318,2496,2931,3214,3441,3455,4149,3559,4099
11-06-2014,10597,2.79,1965,2222,2524,3538,2872,3160,3749,4073,3825,4455
12-06-2014,10799,0.51,1755,2393,2604,3188,3197,3725,3249,3901,3987,4641
13-06-2014,10505,0.42,2328,3020,2346,2700,3050,3620,3464,3571,3731,4533
14-06-2014,11006,1.72,2270,3072,2123,2554,2703,3067,4252,4529,3881,4241
15-06-2014,9259,0.33,2236,2713,2721,3265,2947,3292,3715,4299,4278,4867
16-06-2014,9330,1.53,2033,2703,2234,2558,2990,3555,3797,4547,3382,3756
17-06-2014,8679,0.15,1520,1663,2139,2568,3055,3512,3467,4330,4048,4461
18-06-2014,10527,1.45,2326,2803,2650,2861,3153,3729,3915,4360,3686,4198
19-06-2014,10934,1.08,2017,2470,2168,2560,3009,3647,3025,3310,3915,4366
20-06-2014,10549,0.18,1907,2467,2254,2574,3523,4037,3837,4035,3923,4612
21-06-2014,12009,1.57,2134,2449,2974,3082,3252,3729,3426,3827,4032,4536
22-06-2014,9993,0.89,2067,2475,2976,3435,3298,4017,3296,4033,3977,4621
23-06-2014,10802,0.37,1679,2024,2857,3196,3247,3462,3275,4006,4090,4219
24-06-2014,8689,0.65,1903,2584,2727,2808,3022,3886,3476,4257,4184,4666
25-06-2014,9535,1.02,1428,1906,2846,3517,3219,3747,3793,4155,3529,4451
26-06-2014,10834,0.14,2025,2532,3088,3764,3374,3765,3132,3465,3895,4233
27-06-2014,11018,4.74,2399,2739,2828,3176,3037,3542,3949,4523,3763,4492
28-06-2014,9647,1.64,1461,2136,2575,3202,3315,3838,3198,3924,3479,4166
29-06-2014,9914,0.16,2038,2633,2761,3062,2609,3195,3394,3651,3704,4365
30-06-2014,8178,2.6,2200,2706,2360,2721,3329,3871,3333,3882,4306,4931
01-07-2014,9571,0.58,2244,2571,2543,2976,2768,3673,3512,3899,3923,3881
02-07-2014,11068,1.36,1776,2303,2557,3319,2608,2998,3304,3570,4154,4700
03-07-2014,10690,0.49,1669,2289,2458,2959,2916,3410,3325,4031,4129,4342
04-07-2014,10600,1.98,1823,2591,2405,3055,3062,3150,3135,3582,3728,4099
05-07-2014,10059,1.93,2357,3017,2886,3050,3100,4171,3539,4072,4161,4474
06-07-2014,10008,1.2,1487,1893,2214,2605,3387,3909,3098,3496,3668,4108
07-07-2014,9207,0.41,1635,1746,2544,3196,2832,3321,3411,4131,4217,4743
08-07-2014,10838,0.44,1862,2481,2113,2585,3493,4157,3200,3472,3821,4691
09-07-2014,10505,0.72,1707,1959,1897,2355,3493,4135,3177,3421,3599,4211
10-07-2014,10590,0.24,1987,2462,2858,3275,3067,3364,3275,3657,4042,4475
11-07-2014,9368,0.62,2424,2972,2885,3558,2751,3459,3241,3747,3788,4172
12-07-2014,7415,1.73,1638,2086,2354,2857,3747,4122,3632,4104,4188,4987
13-07-2014,11316,2.67,1956,2517,2515,2750,3517,3714,3332,3770,4213,4803
14-07-2014,9425,0.61,1997,2147,2413,2769,3057,3419,3893,4643,3104,4110
15-07-2014,8964,0.4,1899,2397,2413,3363,2591,3081,3294,3677,5033,5404
16-07-2014,10832,2.68,1526,2329,2353,2834,3186,3677,3445,4036,3614,4314
17-07-2014,9529,3.32,1808,2235,2638,2729,2823,3141,3337,3411,4215,4603
18-07-2014,11271,0.79,1809,2475,2385,2938,3262,3674,3463,4026,3864,4322
19-07-2014,10740,0.04,2190,2608,2624,3270,3068,3577,3492,3925,4099,4735
20-07-2014,10820,1.78,2125,2520,3000,3759,2521,2810,3484,3618,3812,4360
21-07-2014,8360,2.3,1534,1903,2616,3059,2646,3079,3691,4189,4442,4808
22-07-2014,11454,0.03,1883,2089,2537,3451,2771,3204,3517,3922,3569,4106
23-07-2014,10313,1.36,1849,2415,2328,2928,3492,3573,3573,4102,4310,4697
24-07-2014,9556,1.33,2586,3049,2495,3432,2805,3176,3857,4131,3425,4319
25-07-2014,10172,0.71,2087,2371,1998,2476,2317,2644,3409,3819,4029,4565
26-07-2014,7868,2.08,1676,2038,2961,3694,2939,3331,3884,4186,3583,4258
27-07-2014,10490,0.84,1766,1913,2212,3115,2921,3205,3549,3977,4213,4789
28-07-2014,8764,1.69,1886,2451,1924,2387,3476,4001,2694,3399,4102,4542
29-07-2014,8376,1.09,2108,2517,2468,2741,3454,3944,3557,3993,4157,4765
30-07-2014,8173,0.43,2145,2584,2606,2806,2607,3115,3923,4085,3919,4365
31-07-2014,11335,1.4,2060,2671,2897,3330,3118,3679,3678,4436,3920,4267
01-08-2014,9244,2,1937,2634,2573,2873,3237,3735,3465,4128,3959,4456
02-08-2014,11840,5.47,1959,2700,2777,3136,2963,3655,3337,3799,3647,4136
03-08-2014,9357,0.72,1961,2562,2778,3194,3052,3267,3989,4574,4772,5429
04-08-2014,7951,0.1,1465,1879,2749,3229,3331,3660,3524,3906,3761,3949
05-08-2014,8660,6.63,1981,2230,2159,2603,3087,3710,3147,3787,3879,3973
06-08-2014,11482,1.47,1826,2614,2653,2854,3201,3828,3535,4174,4096,4757
07-08-2014,9812,4.39,1504,2184,2084,2268,3422,4294,3244,3606,3865,4234
08-08-2014,9342,0.16,2725,3046,3098,3998,2866,3039,2795,3200,4085,4163
09-08-2014,10192,0.63,2093,2819,2709,3424,3238,3427,3503,3982,3444,3541
10-08-2014,10602,0.22,2003,2632,2312,2813,2866,3398,3516,4055,3989,4634
11-08-2014,11340,2.71,1888,2231,2612,3456,3322,3356,3396,4084,3718,4175
12-08-2014,11738,3.18,2219,2513,2196,2671,2813,3144,3398,3845,4120,4823
13-08-2014,9568,1.04,1651,2455,2033,2334,3130,3621,3540,4044,4458,4914
14-08-2014,8408,0.31,1906,2280,2763,3537,2931,3357,3296,3424,4567,4848
15-08-2014,9503,0.2,1714,2383,2205,2914,3176,3886,3163,4079,3864,4512
16-08-2014,10312,1.33,2216,2788,2445,3232,2746,3496,3112,3606,3247,3823
17-08-2014,8843,1.06,1751,1842,2561,2896,2916,3297,3381,3777,4098,4407
18-08-2014,8851,1.78,2330,2874,2445,2809,2984,3252,3578,4072,3888,4195
19-08-2014,10412,0.55,1970,2469,2191,2668,2677,3026,2825,3316,3718,4326
20-08-2014,9941,0.77,2232,2983,2518,2867,2817,3261,3646,4424,4077,4492
21-08-2014,10039,0.03,2119,2786,2544,2930,2508,3469,3409,3768,4063,4473
22-08-2014,9089,1.41,2317,2825,2761,3265,3113,3872,3322,3860,4214,4819
23-08-2014,9723,0.83,1719,2476,3233,3570,3238,3466,3941,4461,3847,4253
24-08-2014,8890,3.78,2271,2664,1907,2368,2582,3152,3848,4501,3819,4303
25-08-2014,11068,1.54,1441,1942,2260,2719,2648,3166,3660,3981,3811,4121
26-08-2014,11242,0.76,2012,2565,2566,2985,2712,3143,3189,3497,3796,4165
27-08-2014,7784,0.46,1836,2045,2803,3783,2617,3418,3859,4724,4202,5079
28-08-2014,8884,3.54,1578,2042,2603,3190,3119,3457,3190,3807,3760,4210
29-08-2014,8204,0.02,1731,1977,2836,3437,2792,3187,3408,4046,3570,4160
30-08-2014,9219,0.59,1807,2211,2056,2570,3075,3605,3571,3867,4147,4752
31-08-2014,9899,4.31,1941,2033,2404,2844,2775,3466,2869,3382,4134,4834
01-09-2014,8260,1.59,1842,2026,2938,3138,2897,3055,3573,4217,4573,5116
02-09-2014,8893,1.14,2024,2799,2241,2448,3311,3796,3248,4139,4744,5272
03-09-2014,8795,0.34,1750,2495,1630,2131,2653,3356,3360,4116,4455,5140
04-09-2014,10248,2.69,1856,2339,2254,2901,2831,3503,3143,3866,4201,4378
05-09-2014,10083,0.34,1913,2455,2631,2880,3125,3914,3819,4403,3993,4937
06-09-2014,9133,0.43,2054,2340,2478,2925,2904,3175,3394,3764,3771,4200
07-09-2014,10212,0.32,2254,2386,2114,2827,3056,3517,3501,4125,4667,5389
08-09-2014,9343,0.26,2256,2952,2283,2834,3000,3490,3987,4770,4117,4381
09-09-2014,9674,4.6,2071,2675,2100,2609,2547,3292,3786,4378,4435,5057
10-09-2014,12008,1.38,2129,2482,2136,2565,3419,3906,3516,4207,3984,4682
11-09-2014,11608,1.52,2093,2399,2236,2786,2970,3602,3283,4252,4153,4722
12-09-2014,8440,4.63,1905,2439,2531,2937,3478,4040,3281,3825,4057,4275
13-09-2014,10995,0.39,2270,2784,1783,2164,3101,3902,3630,3999,3798,4373
14-09-2014,10973,0.01,1725,2361,2909,3594,3394,3979,3220,3692,4164,4979
15-09-2014,8622,1.37,1385,1761,2468,3062,3306,3843,2934,3563,4676,5415
16-09-2014,10982,1.06,1687,2035,2168,3200,3368,3860,3266,3892,3842,4292
17-09-2014,11845,0.97,2420,2763,2207,2859,2933,3343,3621,3916,3936,4353
18-09-2014,8652,0.1,1911,2854,2309,2900,3536,4383,3312,3842,3449,3873
19-09-2014,8898,0.91,2082,2508,2501,2754,2858,3355,3809,4490,4184,4734
20-09-2014,11221,0.51,1917,2455,2545,2739,3108,3485,3304,3827,4179,4244
21-09-2014,10325,0.48,2168,2326,2441,3341,3258,4043,3442,3791,4169,4427
22-09-2014,10661,0.38,2021,2409,2273,2804,3951,4270,3269,3661,3918,4841
23-09-2014,10408,0.61,1979,2398,2496,2909,3328,3808,3457,3828,3881,4322
24-09-2014,10468,0.65,2184,3050,1877,1957,2842,3310,3161,3634,4057,4263
25-09-2014,8408,0.55,1860,2609,2135,3195,3080,3519,3889,4614,4156,4875
26-09-2014,11256,5.78,2111,2321,2297,2813,2596,3115,3792,4424,3996,4978
27-09-2014,11403,4.05,1947,2585,2097,2693,3440,4058,3098,3391,3858,4617
28-09-2014,9724,1.28,1967,2371,2434,2973,2061,2436,3810,3845,3524,4112
29-09-2014,9947,5.95,1754,2196,2098,2689,2948,3389,3921,4021,4291,4406
30-09-2014,8162,7.1,1935,2167,3013,3563,3658,4100,3673,4067,4040,4683
01-10-2014,10617,0.66,1837,2310,2062,2290,3227,4027,3861,4339,3574,3987
02-10-2014,10686,0.88,2338,2784,2953,3622,3146,3639,3528,3957,4187,4614
03-10-2014,9925,4.79,1494,1605,1898,2567,2642,3123,3692,4428,4198,4386
04-10-2014,11349,1.41,2266,2894,3101,3858,3399,3869,3646,4335,3854,4130
05-10-2014,9599,0.36,1476,2132,2675,3083,2725,3460,3221,4343,3687,4346
06-10-2014,10677,1.75,2161,2572,2737,3303,2728,3311,3759,4388,4313,4917
07-10-2014,8776,0.35,1748,2359,2090,2682,3398,3810,3609,4511,3853,4460
08-10-2014,9971,0.62,2169,2863,2403,3496,2715,3525,3182,3792,3293,3632
09-10-2014,9790,0.39,1963,2275,2422,3573,2560,3178,3011,3457,3978,4452
10-10-2014,10270,0.42,1570,1753,2469,3036,2710,3560,3580,3671,4042,4531
11-10-2014,9556,0.01,2407,2984,2881,3180,3056,3526,3456,4020,4033,4342
12-10-2014,9842,3.19,2232,2818,2707,3086,2849,3239,3125,3662,3785,4525
13-10-2014,10991,0.53,2150,2970,2450,2904,3545,4076,3865,4363,4017,4497
14-10-2014,9475,0.14,1807,2277,2799,3539,3010,3165,3638,3916,4211,4688
15-10-2014,8072,0.14,2243,2832,2854,3625,2627,2889,3638,4110,3359,3698
16-10-2014,12099,1.22,1615,2019,2329,3028,2439,2929,3545,4113,4163,4883
17-10-2014,11657,7.43,1331,1658,2320,2976,3270,3878,3131,3492,4254,4548
18-10-2014,8449,0.24,1531,2212,3148,3861,3090,3664,3178,3515,3897,4336
19-10-2014,10827,0.16,1723,2372,2428,2638,3182,3659,3867,4113,3597,4125
20-10-2014,9396,0.87,1773,1992,2307,2560,2871,3452,3566,3898,4269,4457
21-10-2014,10316,1.24,1869,2389,2453,2712,3046,3341,3183,3722,4386,4771
22-10-2014,10353,0.52,1882,2267,2822,3358,3357,4118,3472,4250,3664,4297
23-10-2014,9718,0.54,1805,2445,2715,3288,3001,3337,3647,4182,3948,4818
24-10-2014,9059,0.83,1365,1822,2462,2652,2655,3222,3341,3563,3704,4685
25-10-2014,9171,0.57,2057,2549,2683,3202,3216,4047,3562,4017,3813,4108
26-10-2014,8900,3.7,1920,2585,2575,3183,2895,3518,3809,4098,3985,4535
27-10-2014,9001,0.06,1791,2397,2457,2906,3289,4204,4023,4272,4278,4965
28-10-2014,9919,0.4,2419,2681,2409,3272,3007,3372,2959,3533,4184,4689
29-10-2014,9141,2.48,1927,2436,2544,3470,3258,3357,3772,4235,4042,4685
30-10-2014,10818,2.69,2017,2539,2375,2711,3152,3921,3649,4142,4662,4770
31-10-2014,11784,0.18,2238,2556,2521,2959,3389,3879,3597,3745,3610,4001
01-11-2014,9303,5.46,1553,2128,2485,3125,3288,3758,3236,3867,3829,4009
02-11-2014,10287,1.77,1993,2601,2064,2566,2608,3175,3630,4271,4031,4369
03-11-2014,10599,0.48,2237,2444,2341,2607,2437,3133,3343,3437,3906,3960
04-11-2014,10566,0.91,1972,2345,2422,3194,2976,3526,3629,4483,3938,4108
05-11-2014,10091,0.53,1608,2158,3057,3581,3180,3566,3636,4191,4259,4727
06-11-2014,10891,0.24,1855,2425,2451,2969,2782,3390,3879,4420,3734,4246
07-11-2014,10578,0.52,2056,2519,2581,2880,3133,3439,3742,4506,4532,5343
08-11-2014,8514,1.3,1367,2049,3145,3424,3121,3306,2927,3806,3726,4342
